"G_CP [um]","L_CP [um]","Freq [GHz]","ang_rad(S(2,1)) []","mag(S(2,1)) []"
31,200,7.1206,0.202098215926831,0.860052397513045
31,200,7.1206075,0.191821890324185,0.865240437465317
31,200,7.120615,0.181871118201235,0.870177051322462
31,200,7.1206225,0.172232549703675,0.874876635155812
31,200,7.12063,0.162893427313268,0.87935269050546
31,200,7.1206375,0.153841564791187,0.88361787842659
31,200,7.120645,0.14506532561326,0.88768407120114
31,200,7.1206525,0.136553601175926,0.89156240160174
31,200,7.12066,0.128295789013393,0.895263309646108
31,200,7.1206675,0.120281771201906,0.898796586836025
31,200,7.120675,0.112501893110217,0.902171417900092
31,200,7.1206825,0.104946942594129,0.905396420100321
31,200,7.12069,0.0976081297501866,0.908479680162526
31,200,7.1206975,0.090477067270062,0.91142878892803
31,200,7.120705,0.0835457514603734,0.914250873815332
31,200,7.1207125,0.0768065439515866,0.916952629198368
31,200,7.12072,0.0702521541159142,0.919540344806461
31,200,7.1207275,0.0638756222097128,0.922019932251292
31,200,7.120735,0.0576703032344331,0.92439694978975
31,200,7.1207425,0.0516298515141873,0.926676625425898
31,200,7.12075,0.0457482059753295,0.928863878455295
31,200,7.1207575,0.0400195761193416,0.930963339547276
31,200,7.120765,0.0344384286617961,0.932979369462713
31,200,7.1207725,0.0289994748252773,0.9349160764938
31,200,7.12078,0.0236976582577752,0.936777332713337
31,200,7.1207875,0.0185281435560461,0.938566789112857
31,200,7.120795,0.0134863053668499,0.940287889706595
31,200,7.1208025,0.00856771804670423,0.941943884670762
31,200,7.12081,0.00376814585056102,0.943537842586961
31,200,7.1208175,-0.000916466374219008,0.945072661851936
31,200,7.120825,-0.00549000200877284,0.946551081310968
31,200,7.1208325,-0.0099561810258178,0.947975690170841
31,200,7.12084,-0.0143185679180424,0.949348937243406
31,200,7.1208475,-0.0185805792091571,0.950673139565497
31,200,7.120855,-0.0227454905735919,0.951950490440829
31,200,7.1208625,-0.0268164435854599,0.953183066944952
31,200,7.12087,-0.0307964521077631,0.954372836928479
31,200,7.1208775,-0.0346884083570884,0.955521665559147
31,200,7.120885,-0.0384950886448125,0.956631321430154
31,200,7.1208925,-0.0422191588184408,0.957703482267383
31,200,7.1209,-0.0458631794262421,0.958739740265627
31,200,7.1209075,-0.0494296106054494,0.95974160707557
31,200,7.120915,-0.0529208167245672,0.960710518470371
31,200,7.1209225,-0.0563390707811403,0.961647838710839
31,200,7.12093,-0.0596865585769471,0.962554864632409
31,200,7.1209375,-0.0629653826749325,0.963432829471046
31,200,7.120945,-0.0661775661585208,0.964282906448555
31,200,7.1209525,-0.0693250561971717,0.965106212131681
31,200,7.12096,-0.0724097274310617,0.965903809581324
31,200,7.1209675,-0.0754333851859539,0.966676711306279
31,200,7.120975,-0.0783977685259481,0.967425882034468
31,200,7.1209825,-0.0813045531547644,0.968152241314279
31,200,7.12099,-0.0841553541709365,0.968856665956839
31,200,7.1209975,-0.0869517286876,0.969539992330388
31,200,7.121005,-0.0896951783227251,0.970203018516344
31,200,7.1210125,-0.0923871515679821,0.970846506336374
31,200,7.12102,-0.0950290460417954,0.971471183258769
31,200,7.1210275,-0.0976222106311135,0.972077744191625
31,200,7.121035,-0.100167947533291,0.97266685317143
31,200,7.1210425,-0.10266751419674,0.973239144952321
31,200,7.12105,-0.105122125171691,0.973795226503704
31,200,7.1210575,-0.107532953868751,0.974335678420593
31,200,7.121065,-0.109901134240372,0.974861056254403
31,200,7.1210725,-0.112227762377909,0.975371891766839
31,200,7.12108,-0.114513898037381,0.975868694113471
31,200,7.1210875,-0.116760566092498,0.976351950960447
31,200,7.121095,-0.118968757921275,0.976822129538931
31,200,7.1211025,-0.121139432729529,0.977279677641109
31,200,7.12111,-0.123273518812507,0.977725024560988
31,200,7.1211175,-0.125371914761006,0.978158581983967
31,200,7.121125,-0.12743549061058,0.978580744827481
31,200,7.1211325,-0.129465088941846,0.978991892036641
31,200,7.12114,-0.131461525930427,0.979392387336882
31,200,7.1211475,-0.133425592349034,0.97978257994609
31,200,7.121155,-0.135358054527996,0.980162805249455
31,200,7.1211625,-0.137259655271271,0.980533385438229
31,200,7.12117,-0.13913111473417,0.980894630115296
31,200,7.1211775,-0.14097313126178,0.981246836868957
31,200,7.121185,-0.14278638219172,0.981590291817053
31,200,7.1211925,-0.144571524623298,0.981925270123265
31,200,7.1212,-0.146329196151617,0.982252036486527
31,200,7.1212075,-0.148060015574067,0.982570845606269
31,200,7.121215,-0.149764583563082,0.982881942623328
31,200,7.1212225,-0.15144348331411,0.983185563539403
31,200,7.12123,-0.153097281164452,0.983481935615163
31,200,7.1212375,-0.154726527187236,0.983771277748704
31,200,7.121245,-0.156331755761719,0.984053800835532
31,200,7.1212525,-0.157913486117458,0.984329708110367
31,200,7.12126,-0.159472222861074,0.984599195473146
31,200,7.1212675,-0.161008456476523,0.984862451798318
31,200,7.121275,-0.162522663808936,0.985119659229902
31,200,7.1212825,-0.164015308527787,0.98537099346219
31,200,7.12129,-0.165486841570765,0.985616624006947
31,200,7.1212975,-0.166937701572063,0.985856714448316
31,200,7.121305,-0.168368315271996,0.986091422685417
31,200,7.1213125,-0.169779097911958,0.986320901163854
31,200,7.12132,-0.171170453612971,0.98654529709626
31,200,7.1213275,-0.172542775740074,0.986764752672775
31,200,7.121335,-0.173896447253213,0.986979405261899
31,200,7.1213425,-0.175231841043083,0.987189387601936
31,200,7.12135,-0.176549320256787,0.987394827984147
31,200,7.1213575,-0.177849238608205,0.987595850427176
31,200,7.121365,-0.179131940679241,0.987792574844032
31,200,7.1213725,-0.180397762208205,0.987985117201374
31,200,7.12138,-0.181647030368011,0.988173589671828
31,200,7.1213875,-0.182880064034445,0.988358100779617
31,200,7.121395,-0.184097174043692,0.988538755539671
31,200,7.1214025,-0.185298663441575,0.988715655590848
31,200,7.12141,-0.186484827722221,0.988888899323141
31,200,7.1214175,-0.187655955059696,0.98905858199963
31,200,7.121425,-0.188812326530562,0.989224795873118
31,200,7.1214325,-0.189954216327994,0.989387630297674
31,200,7.12144,-0.191081891968518,0.989547171835521
31,200,7.1214475,-0.192195614493054,0.989703504359619
31,200,7.121455,-0.193295638657852,0.989856709151524
31,200,7.1214625,-0.194382213121402,0.990006864995529
31,200,7.12147,-0.195455580623216,0.990154048268666
31,200,7.1214775,-0.196515978157417,0.990298333027146
31,200,7.121485,-0.197563637139582,0.990439791089125
31,200,7.1214925,-0.198598783568295,0.990578492114151
31,200,7.1215,-0.199621638180952,0.990714503679353
